team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,25.0,58.2,38.0,418.0,"3,420",86.0,62.0,10.0,10.0,64.0,2.0,2.26,1.63,3.89,2.0,3.63,76.1,68.5,0.0,2.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,6.0,32.3,0.0,5.5,0.12,0.36,0.11,+9.9,+7.5,19094.0,22558.0,84.6,309533.0,102210.0,9719.0,10643.0,91.3,7809.0,8765.0,89.1,1178.0,2162.0,54.5,0.0,513.0,1546.0,548.0,68.0,2106.0,20941.0,1530.0,443.0,104.0,0.0,65.0,670.0,265.0,217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,87.0,0.0,0.0,319.0,1185.0,31.18,926.0,82.0,0.0,66.0,33.0,152.0,4.0,104.0,16.0,0.0,11.0,13.0,0.0,610.0,348.0,257.0,246.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,106.0,0.0,306.0,292.0,515.0,18.0,26493.0,1974.0,6714.0,11407.0,8560.0,1480.0,26483.0,0.0,0.0,0.0,0.0,0.0,16297.0,0.0,0.0,821.0,575.0,327.0,0.0,18917.0,0.0,525.0,375.0,1.0,391.0,394.0,87.0,9.0,3.0,1.0,1752.0,503.0,499.0,50.2
Aston Villa,31.0,53.1,38.0,418.0,"3,420",72.0,55.0,4.0,4.0,94.0,2.0,1.89,1.45,3.34,1.79,3.24,63.3,60.3,0.0,1.67,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,15.0,35.6,0.0,4.79,0.13,0.37,0.12,+8.7,+7.7,16133.0,19363.0,83.3,281128.0,95293.0,7110.0,7878.0,90.3,7381.0,8273.0,89.2,1330.0,2368.0,56.2,0.0,398.0,1160.0,363.0,67.0,1451.0,17499.0,1817.0,628.0,80.0,0.0,95.0,651.0,231.0,149.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,47.0,0.0,0.0,343.0,912.0,24.0,670.0,77.0,0.0,73.0,31.0,129.0,3.39,92.0,8.0,0.0,10.0,8.0,3.0,547.0,311.0,269.0,210.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,113.0,0.0,276.0,236.0,597.0,13.0,23059.0,2807.0,8171.0,9636.0,5459.0,1010.0,23055.0,0.0,0.0,0.0,0.0,0.0,14451.0,0.0,0.0,775.0,490.0,217.0,0.0,15824.0,0.0,477.0,416.0,0.0,412.0,473.0,47.0,4.0,2.0,4.0,1619.0,334.0,363.0,47.9
Bournemouth,30.0,44.4,38.0,418.0,"3,420",52.0,39.0,2.0,3.0,79.0,3.0,1.37,1.03,2.39,1.32,2.34,55.9,53.6,0.0,1.47,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,18.0,32.5,0.0,4.61,0.09,0.29,0.1,-3.9,-3.6,11899.0,15920.0,74.7,220978.0,83235.0,4976.0,5868.0,84.8,5270.0,6214.0,84.8,1393.0,2964.0,47.0,0.0,414.0,1074.0,352.0,88.0,1314.0,14065.0,1799.0,419.0,48.0,0.0,91.0,709.0,235.0,192.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,0.0,56.0,0.0,0.0,361.0,952.0,25.05,700.0,70.0,0.0,57.0,34.0,83.0,2.18,62.0,3.0,0.0,6.0,3.0,4.0,693.0,410.0,301.0,281.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,153.0,0.0,351.0,357.0,817.0,16.0,20700.0,2486.0,6820.0,8469.0,5686.0,1033.0,20697.0,0.0,0.0,0.0,0.0,0.0,11015.0,0.0,0.0,709.0,513.0,240.0,0.0,11771.0,0.0,637.0,386.0,0.0,507.0,376.0,56.0,3.0,7.0,1.0,2013.0,582.0,671.0,46.4
Brentford,28.0,45.2,38.0,418.0,"3,420",54.0,38.0,3.0,3.0,89.0,2.0,1.42,1.0,2.42,1.34,2.34,58.2,56.0,0.0,1.53,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,17.0,33.8,0.0,4.18,0.11,0.32,0.12,-4.2,-5.0,12551.0,16818.0,74.6,225971.0,88492.0,5616.0,6628.0,84.7,5236.0,6432.0,81.4,1382.0,2776.0,49.8,0.0,332.0,965.0,333.0,106.0,1283.0,14996.0,1752.0,464.0,70.0,0.0,113.0,706.0,184.0,79.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,70.0,0.0,0.0,357.0,804.0,21.16,557.0,102.0,0.0,55.0,42.0,81.0,2.13,57.0,7.0,0.0,8.0,6.0,0.0,677.0,399.0,349.0,250.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,142.0,0.0,332.0,378.0,903.0,18.0,21227.0,2878.0,7944.0,8253.0,5210.0,982.0,21224.0,0.0,0.0,0.0,0.0,0.0,10970.0,0.0,0.0,505.0,363.0,156.0,0.0,12416.0,0.0,556.0,271.0,0.0,385.0,419.0,70.0,3.0,2.0,0.0,1892.0,632.0,607.0,51.0
Brighton,30.0,59.8,38.0,418.0,"3,420",50.0,36.0,5.0,6.0,90.0,3.0,1.32,0.95,2.26,1.18,2.13,56.8,52.2,0.0,1.49,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,11.0,35.7,0.0,5.21,0.08,0.23,0.1,-6.8,-7.2,21810.0,25029.0,87.1,341060.0,113686.0,11574.0,12473.0,92.8,8261.0,9125.0,90.5,1296.0,2164.0,59.9,0.0,429.0,1484.0,384.0,81.0,1780.0,23334.0,1611.0,511.0,62.0,0.0,76.0,671.0,206.0,86.0,73.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,84.0,0.0,0.0,327.0,1010.0,26.58,749.0,87.0,0.0,71.0,38.0,89.0,2.34,59.0,5.0,0.0,9.0,6.0,1.0,644.0,366.0,292.0,252.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,140.0,0.0,297.0,288.0,603.0,21.0,29112.0,3197.0,9449.0,13090.0,6766.0,1081.0,29106.0,0.0,0.0,0.0,0.0,0.0,19020.0,0.0,0.0,864.0,584.0,269.0,0.0,21577.0,0.0,579.0,342.0,0.0,414.0,454.0,84.0,6.0,6.0,2.0,1751.0,406.0,345.0,54.1
Burnley,31.0,47.4,38.0,418.0,"3,420",40.0,30.0,3.0,3.0,77.0,7.0,1.05,0.79,1.84,0.97,1.76,40.6,38.3,0.0,1.07,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,13.0,31.9,0.0,3.61,0.09,0.27,0.09,-0.6,-1.3,13937.0,17959.0,77.6,246047.0,83556.0,6311.0,7267.0,86.8,6017.0,7042.0,85.4,1324.0,2755.0,48.1,0.0,326.0,976.0,216.0,54.0,1181.0,16189.0,1694.0,445.0,49.0,0.0,77.0,550.0,180.0,67.0,58.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,76.0,0.0,0.0,344.0,757.0,19.92,549.0,74.0,0.0,45.0,31.0,74.0,1.95,55.0,6.0,0.0,2.0,3.0,0.0,607.0,342.0,282.0,247.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,169.0,0.0,308.0,280.0,837.0,22.0,22181.0,2907.0,8021.0,9196.0,5155.0,819.0,22178.0,0.0,0.0,0.0,0.0,0.0,12244.0,0.0,0.0,727.0,460.0,240.0,0.0,13779.0,0.0,517.0,296.0,3.0,429.0,353.0,76.0,3.0,7.0,3.0,1727.0,561.0,696.0,44.6
Chelsea,32.0,58.6,38.0,418.0,"3,420",76.0,51.0,11.0,12.0,109.0,4.0,2.0,1.34,3.34,1.71,3.05,74.5,65.1,0.0,1.96,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,22.0,36.1,0.0,5.11,0.12,0.34,0.12,+1.5,-0.1,20039.0,23364.0,85.8,328448.0,109853.0,10006.0,10877.0,92.0,8176.0,9060.0,90.2,1365.0,2328.0,58.6,0.0,419.0,1351.0,352.0,51.0,1615.0,21587.0,1692.0,496.0,116.0,0.0,101.0,558.0,202.0,78.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,85.0,0.0,0.0,348.0,980.0,25.79,720.0,62.0,0.0,46.0,50.0,133.0,3.5,89.0,7.0,0.0,10.0,12.0,4.0,663.0,376.0,325.0,235.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,166.0,0.0,282.0,298.0,785.0,24.0,27725.0,3035.0,9367.0,12068.0,6558.0,1039.0,27713.0,0.0,0.0,0.0,0.0,0.0,16624.0,0.0,0.0,873.0,543.0,291.0,0.0,19899.0,0.0,604.0,370.0,2.0,446.0,451.0,85.0,11.0,5.0,3.0,1846.0,440.0,402.0,52.3
Crystal Palace,26.0,42.3,38.0,418.0,"3,420",56.0,43.0,4.0,4.0,73.0,2.0,1.47,1.13,2.61,1.37,2.5,48.6,45.4,0.0,1.28,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,20.0,35.8,0.0,4.26,0.12,0.32,0.1,+7.4,+6.6,12915.0,16754.0,77.1,225542.0,84922.0,6040.0,6920.0,87.3,5338.0,6287.0,84.9,1204.0,2608.0,46.2,0.0,353.0,995.0,273.0,60.0,1176.0,14948.0,1734.0,484.0,52.0,0.0,97.0,583.0,178.0,81.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,0.0,72.0,0.0,0.0,366.0,794.0,20.89,554.0,74.0,0.0,50.0,45.0,103.0,2.71,85.0,4.0,0.0,2.0,6.0,0.0,788.0,464.0,373.0,301.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,122.0,0.0,334.0,323.0,927.0,6.0,21367.0,2349.0,7237.0,9279.0,5077.0,797.0,21363.0,0.0,0.0,0.0,0.0,0.0,10943.0,0.0,0.0,506.0,383.0,170.0,0.0,12811.0,0.0,606.0,426.0,2.0,457.0,427.0,72.0,4.0,3.0,2.0,1909.0,553.0,555.0,49.9
Everton,26.0,40.8,38.0,418.0,"3,420",40.0,17.0,2.0,3.0,82.0,1.0,1.05,0.45,1.5,1.0,1.45,54.0,51.6,0.0,1.42,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,14.0,30.2,0.0,4.0,0.08,0.25,0.11,-14.0,-13.6,11349.0,15514.0,73.2,208537.0,88374.0,5198.0,6091.0,85.3,4386.0,5405.0,81.1,1469.0,3057.0,48.1,0.0,339.0,958.0,284.0,77.0,1129.0,13704.0,1721.0,409.0,45.0,0.0,78.0,752.0,181.0,140.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,89.0,0.0,0.0,347.0,854.0,22.47,592.0,82.0,0.0,76.0,41.0,60.0,1.58,33.0,5.0,0.0,13.0,5.0,4.0,743.0,442.0,371.0,261.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,177.0,0.0,302.0,358.0,882.0,12.0,20053.0,2568.0,6792.0,8180.0,5283.0,809.0,20050.0,0.0,0.0,0.0,0.0,0.0,9770.0,0.0,0.0,495.0,389.0,127.0,0.0,11254.0,0.0,560.0,320.0,1.0,457.0,361.0,89.0,2.0,8.0,3.0,1970.0,676.0,577.0,54.0
Fulham,25.0,50.6,38.0,418.0,"3,420",54.0,40.0,2.0,2.0,84.0,4.0,1.42,1.05,2.47,1.37,2.42,50.8,49.2,0.0,1.34,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,14.0,35.1,0.0,4.61,0.1,0.3,0.1,+3.2,+2.8,16311.0,20237.0,80.6,290238.0,100538.0,7028.0,7907.0,88.9,7277.0,8347.0,87.2,1586.0,2853.0,55.6,0.0,379.0,1117.0,355.0,94.0,1467.0,18414.0,1772.0,464.0,58.0,0.0,118.0,736.0,212.0,70.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,0.0,51.0,0.0,0.0,421.0,877.0,23.08,652.0,79.0,0.0,67.0,24.0,95.0,2.5,73.0,6.0,0.0,8.0,3.0,1.0,679.0,384.0,339.0,260.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,117.0,0.0,320.0,371.0,744.0,14.0,24318.0,2792.0,8619.0,10359.0,5568.0,849.0,24316.0,0.0,0.0,0.0,0.0,0.0,13883.0,0.0,0.0,670.0,508.0,151.0,0.0,16183.0,0.0,520.0,325.0,3.0,384.0,364.0,51.0,2.0,8.0,4.0,1837.0,487.0,509.0,48.9
